id,title,vote_average,vote_count,release_date,revenue,runtime,budget,videoId,videoTitle,duration,viewCount,likeCount,commentCount
926393,The Equalizer 3,6914,251,8/30/23 0:00,158300000,109,70000000,DK8paAmQBK0,The Equalizer 3 Trailer #1 (2023),00:03:06,751591,5500,489
762430,Retribution,6816,258,8/23/23 0:00,12905464,91,20000000,9ULWUOFOSxo,Retribution Trailer #1 (2023),00:02:11,793506,1182,198
565770,Blue Beetle,7139,1023,8/16/23 0:00,124818235,128,120000000,3U467XfT6cY,Blue Beetle Trailer #1 (2023),00:02:50,1479057,46772,5314
980489,Gran Turismo,8068,702,8/9/23 0:00,114800000,135,60000000,MCfvHiqLkmM,Gran Turismo: Based on a True Story Trailer #1 (2023),00:02:43,313812,2885,408
635910,The Last Voyage of the Demeter,7318,715,8/9/23 0:00,21576744,119,45000000,QkRZsskmXKw,The Last Voyage of the Demeter Trailer #1 (2023),00:02:45,83636,1524,179
615656,Meg 2: The Trench,6912,2034,8/2/23 0:00,384056482,116,129000000,MkXLYE7Ht2E,The Meg 2: The Trench Trailer #1 (2023),00:02:59,999887,6884,697
1008042,Talk to Me,7214,973,7/26/23 0:00,72600000,95,4500000,zYsYJSUm-lA,Talk to Me Trailer #2 (2023),00:02:06,418223,1812,173
872585,Oppenheimer,8256,3766,7/19/23 0:00,933700000,181,100000000,LX3XCkHX3hA,Oppenheimer Trailer #1 (2023),00:02:07,505215,10312,634
346698,Barbie,7279,5074,7/19/23 0:00,1428545028,114,145000000,jNoET7IGhcA,Barbie Trailer #1 (2023),00:02:50,506331,6602,379
575264,Mission: Impossible - Dead Reckoning Part One,774,1171,7/8/23 0:00,563148955,164,291000000,RUZuXy9wdn0,"Mission: Impossible - Dead Reckoning, Part One Trailer #1 (2023) | Movieclips Trailers",00:02:26,591589,11656,995
614479,Insidious: The Red Door,685,1161,7/5/23 0:00,185582093,107,16000000,naWC6PCPXoY,Insidious: The Red Door Trailer #1 (2023),00:02:43,345020,2282,215
335977,Indiana Jones and the Dial of Destiny,6679,1748,6/28/23 0:00,382891104,155,294700000,nIzPvirp4bo,Indiana Jones and the Dial of Destiny Trailer #1 (2023),00:01:53,584971,7772,1012
884605,No Hard Feelings,7166,1401,6/15/23 0:00,82995526,104,45000000,2jVk6AE2g8c,No Hard Feelings Red Band Trailer (2023),00:02:53,108247,2093,224
298618,The Flash,6898,2959,6/13/23 0:00,268375616,144,300000000,44o-RrCBPqE,The Flash Super Bowl Trailer #1 (2023),00:03:01,458826,8057,1298
747188,Asteroid City,6606,823,6/8/23 0:00,47281670,105,25000000,wSyn-kVmM_M,Asteroid City Trailer #1 (2023),00:02:35,283748,2800,256
667538,Transformers: Rise of the Beasts,7492,3270,6/6/23 0:00,429800000,127,195000000,xYbt0uLuGXY,Transformers: Rise of the Beasts Trailer #1 (2023),00:02:43,258747,4940,655
532408,The Boogeyman,6767,415,5/31/23 0:00,66978229,99,41900000,KHNhAtApTyc,The Boogeyman Trailer #2 (2023),00:02:35,60079,839,122
385687,Fast X,7265,3881,5/17/23 0:00,704709660,142,340000000,wDGRv_VisWk,Fast X Trailer #1 (2023),00:03:52,420086,4270,932
536437,Hypnotic,65,603,5/11/23 0:00,9464308,94,70000000,FEnsn7CIay0,Hypnotic Trailer #1 (2023),00:02:38,1122922,4427,485
447365,Guardians of the Galaxy Vol. 3,8023,4941,5/3/23 0:00,845430302,150,250000000,br4CsE-w8pA,Guardians of the Galaxy Vol. 3 Trailer #1 (2023),00:02:06,1822294,22863,1517
