id;title;vote_average;vote_count;release_date;revenue;runtime;budget
820609;No One Will Save You;6897;345;22/09/2023 00:00;0;93;22800000
945729;A Haunting in Venice;6786;519;13/09/2023 00:00;89800000;104;60000000
968051;The Nun II;6545;365;06/09/2023 00:00;231200000;110;38500000
926393;The Equalizer 3;6914;251;30/08/2023 00:00;158300000;109;70000000
762430;Retribution;6816;258;23/08/2023 00:00;12905464;91;20000000
912908;Strays;7531;389;17/08/2023 00:00;32000000;93;46000000
565770;Blue Beetle;7139;1023;16/08/2023 00:00;124818235;128;120000000
980489;Gran Turismo;8068;702;09/08/2023 00:00;114800000;135;60000000
635910;The Last Voyage of the Demeter;7318;715;09/08/2023 00:00;21576744;119;45000000
724209;Heart of Stone;6901;1166;09/08/2023 00:00;0;124;0
1070514;Zom 100: Bucket List of the Dead;6812;398;03/08/2023 00:00;0;129;0
615656;Meg 2: The Trench;6912;2034;02/08/2023 00:00;384056482;116;129000000
614930;Teenage Mutant Ninja Turtles: Mutant Mayhem;7328;652;31/07/2023 00:00;172000000;100;70000000
930094;Red, White & Royal Blue;8168;805;27/07/2023 00:00;0;121;0
1008042;Talk to Me;7214;973;26/07/2023 00:00;72600000;95;4500000
872585;Oppenheimer;8256;3766;19/07/2023 00:00;933700000;181;100000000
346698;Barbie;7279;5074;19/07/2023 00:00;1428545028;114;145000000
709631;Cobweb;6911;394;19/07/2023 00:00;5569593;88;0
805320;Bird Box Barcelona;6018;491;14/07/2023 00:00;0;124;19800000
575264;Mission: Impossible - Dead Reckoning Part One;774;1171;08/07/2023 00:00;563148955;164;291000000
921636;The Out-Laws;6162;497;07/07/2023 00:00;0;95;0
457332;Hidden Strike;7043;751;06/07/2023 00:00;0;103;80000000
614479;Insidious: The Red Door;685;1161;05/07/2023 00:00;185582093;107;16000000
496450;Miraculous: Ladybug & Cat Noir, The Movie;78;593;05/07/2023 00:00;36010829;107;86000000
678512;Sound of Freedom;7973;503;03/07/2023 00:00;212587173;131;15000000
1040148;Ruby Gillman, Teenage Kraken;7474;677;28/06/2023 00:00;43716515;91;70000000
335977;Indiana Jones and the Dial of Destiny;6679;1748;28/06/2023 00:00;382891104;155;294700000
1140066;Paradise;6699;366;24/06/2023 00:00;0;117;0
961323;Nimona;7972;515;23/06/2023 00:00;0;102;0
988078;Through My Window: Across the Sea;6556;556;23/06/2023 00:00;0;110;0
1083862;Resident Evil: Death Island;7612;695;22/06/2023 00:00;53929;91;0
884605;No Hard Feelings;7166;1401;15/06/2023 00:00;82995526;104;45000000
976573;Elemental;7757;2467;14/06/2023 00:00;486797988;102;200000000
736769;They Cloned Tyrone;6775;355;14/06/2023 00:00;0;122;47000000
298618;The Flash;6898;2959;13/06/2023 00:00;268375616;144;300000000
697843;Extraction 2;7487;1814;09/06/2023 00:00;0;123;65000000
1010581;My Fault;8106;1738;08/06/2023 00:00;0;117;0
747188;Asteroid City;6606;823;08/06/2023 00:00;47281670;105;25000000
667538;Transformers: Rise of the Beasts;7492;3270;06/06/2023 00:00;429800000;127;195000000
569094;Spider-Man: Across the Spider-Verse;8442;4394;31/05/2023 00:00;683241751;140;100000000
532408;The Boogeyman;6767;415;31/05/2023 00:00;66978229;99;41900000
717930;Kandahar;6866;575;25/05/2023 00:00;3000000;119;0
447277;The Little Mermaid;6536;2148;18/05/2023 00:00;569244557;135;250000000
385687;Fast X;7265;3881;17/05/2023 00:00;704709660;142;340000000
536437;Hypnotic;65;603;11/05/2023 00:00;9464308;94;70000000
552688;The Mother;6757;1004;04/05/2023 00:00;0;115;0
447365;Guardians of the Galaxy Vol. 3;8023;4941;03/05/2023 00:00;845430302;150;250000000
1102776;AKA;6913;522;28/04/2023 00:00;0;122;0
455476;Knights of the Zodiac;6635;828;27/04/2023 00:00;6794519;113;60000000
890771;The Black Demon;6234;515;26/04/2023 00:00;0;101;0
1098110;Blood & Gold;6688;268;21/04/2023 00:00;0;100;0
420808;Peter Pan & Wendy;5668;538;20/04/2023 00:00;0;106;0
882569;Guy Ritchie's The Covenant;7814;1651;19/04/2023 00:00;20000000;123;55000000
868759;Ghosted;7057;1324;18/04/2023 00:00;0;117;0
948713;The Last Kingdom: Seven Kings Must Die;7294;525;14/04/2023 00:00;0;111;0
798286;Beau Is Afraid;68;527;14/04/2023 00:00;10000000;179;35000000
713704;Evil Dead Rise;7006;2292;12/04/2023 00:00;146733054;96;15000000
649609;Renfield;6723;1014;07/04/2023 00:00;26348156;93;65000000
736790;Chupa;65;284;07/04/2023 00:00;0;98;0
605886;To Catch a Killer;7024;531;06/04/2023 00:00;200221;119;0
502356;The Super Mario Bros. Movie;7775;6743;05/04/2023 00:00;1355725263;93;100000000
964980;Air;7385;1384;05/04/2023 00:00;87078875;112;90000000
796185;The Three Musketeers: D'Artagnan;7185;653;05/04/2023 00:00;31165459;121;27500000
758323;The Pope's Exorcist;7144;1971;05/04/2023 00:00;70204828;103;18000000
1071806;Hunger;7361;285;04/04/2023 00:00;0;145;0
1016121;Beautiful Disaster;66;465;04/04/2023 00:00;0;96;0
638974;Murder Mystery 2;6518;1353;28/03/2023 00:00;0;91;0
943930;Tin & Tina;6012;302;24/03/2023 00:00;0;119;0
493529;Dungeons & Dragons: Honor Among Thieves;7459;2329;23/03/2023 00:00;208177026;134;151000000
603692;John Wick: Chapter 4;7814;4639;22/03/2023 00:00;426978565;170;90000000
881164;Boston Strangler;6722;482;17/03/2023 00:00;0;112;0
881462;Still Time;6592;260;16/03/2023 00:00;0;108;0
726759;Tetris;7793;886;15/03/2023 00:00;0;118;0
594767;Shazam! Fury of the Gods;6662;2416;15/03/2023 00:00;133437105;130;125000000
626332;Flamin' Hot;8186;400;11/03/2023 00:00;0;99;0
934433;Scream VI;72;1836;08/03/2023 00:00;168961389;123;35000000
921785;Mixed by Erry;7518;299;02/03/2023 00:00;0;113;8538750
459003;Mavka: The Forest Song;7375;396;02/03/2023 00:00;16858557;99;5000000
700391;65;6122;1653;02/03/2023 00:00;55000000;92;45000000
677179;Creed III;7194;1987;01/03/2023 00:00;275248615;116;75000000
722149;Luther: The Fallen Sun;6741;723;24/02/2023 00:00;0;129;0
